"","app_name","begin_time","end_time","rpm","duration","swapFreeMB","minFreeMemMB","minDiskFreePct","cpuUserPct","cpuSystemPct","cpuStealPct","cpuIOWaitPct","loadAverage","diskReadPct","diskWritePct","receiveBytes","transmitBytes","transmitErrors","count.services","count.kernel","count.sessions","apdex_s","apdex_t","apdex_f","apdex_score","db_throughput","db_duration","external_throughput","external_duration","length","error_rate","bg_rate","count.503","count.Other","count.Web","queue_duration"
"282","Diract-Browser",2017-09-01 22:50:00,2017-09-01 23:00:00,320023,0.000293237720713824,4294.9632,32060.329984,57.0741539001465,12.1566753387451,0.753103214502335,0,4.14773581724148e-05,1.03102577328682,0,0.109360677748919,3199650.62,0,0,0,0,0,267166,51989,868,0.920000016689301,0,0,180,0.0364963485238095,0,0,100,0,320023,0,0
"283","Diract-Browser",2017-09-01 23:00:00,2017-09-01 23:10:00,320298,0.000297075207625399,4294.9632,32054.646784,57.0722045898438,11.9882923126221,0.739298564195633,0,3.82077880203724e-05,0.832077616453171,0,0.107534896582365,3018211.735,0,0,0,0,0,267318,52128,852,0.920000016689301,0,0,178,0.0327113381395349,0,0,100,0,320298,0,0
"284","Diract-Browser",2017-09-01 23:10:00,2017-09-01 23:20:00,319780,0.000293963711142035,4294.9632,32044.35968,57.0703086853027,11.9470992088318,0.745603370666504,0,3.76680571207544e-05,0.902433079481125,0,0.107848778367043,2959584.4325,0,0,0,0,0,266664,52270,846,0.920000016689301,0,0,176,0.0328616732375,0,0,100,0,319780,0,0
"285","Diract-Browser",2017-09-01 23:20:00,2017-09-01 23:30:00,320205,0.000293258807429615,4294.9632,32025.68192,57.0683860778809,11.8919762611389,0.752601444721222,0,4.52836295153247e-05,0.98793939948082,0,0.108735968917608,2970917.29,0,0,0,0,0,267182,52171,852,0.920000016689301,0,0,166,0.0369509556153846,0,0,100,0,320205,0,0
"286","Diract-Browser",2017-09-01 23:30:00,2017-09-01 23:40:00,320032,0.000294515933241051,4294.9632,32016.326656,57.0666122436523,11.9315732955933,0.741007059812546,0,3.8138622767292e-05,0.886719006299973,0,0.108269018679857,3304452.7675,0,0,0,0,0,266521,52652,859,0.920000016689301,0,0,196,0.0348349393,0,0,100,0,320032,0,0
"287","Diract-Browser",2017-09-01 23:40:00,2017-09-01 23:50:00,319929,0.000294596968486758,4294.9632,32004.33152,57.0647888183594,11.6914504051209,0.740942806005478,0,4.18564985011471e-05,0.878466671705246,0,0.108993668854237,2865612.79,0,0,0,0,0,266816,52260,853,0.920000016689301,0,0,178,0.0363273210352941,0,0,100,0,319929,0,0
"288","Diract-Browser",2017-09-01 23:50:00,2017-09-02 00:00:00,319914,0.000297713630885175,4294.9632,31986.714624,57.0634880065918,11.8877714157104,0.752288597822189,0,4.18529212765861e-05,0.962600004673004,0,0.109560844302177,3105575.89,0,0,0,0,0,266412,52630,872,0.920000016689301,0,0,182,0.0455915693214286,0,0,100,0,319914,0,0
"289","Diract-Browser",2017-09-02 00:00:00,2017-09-02 00:10:00,320263,0.000295944928992734,4294.9632,32050.804736,57.0632934570312,11.7120594978333,0.737621700763702,0,2.51132256380515e-05,0.995816665887833,0,0.107910291105509,2883597.6975,0,0,0,0,0,266484,52896,883,0.910000026226044,0,0,230,0.0332899014851485,0,0,100,0,320263,0,0
"290","Diract-Browser",2017-09-02 00:10:00,2017-09-02 00:20:00,320044,0.000298613009779905,4294.9632,32037.183488,57.0613288879395,11.7841973304749,0.747814375162125,0,4.18531362811336e-05,1.04735832810402,0,0.108585765957832,2965299.765,0,0,0,0,0,266036,53133,875,0.910000026226044,0,0,198,0.0350409183152174,0,0,100,0,320044,0,0
"291","Diract-Browser",2017-09-02 00:20:00,2017-09-02 00:30:00,319979,0.000290958769897399,4294.9632,32112.359424,57.059383392334,11.747749710083,0.745158523321152,0,3.76684878574451e-05,0.79870833158493,0,0.108727502822876,2986338.5625,0,0,0,0,0,266614,52518,847,0.920000016689301,0,0,162,0.0331897922631579,0,0,100,0,319979,0,0
"292","Diract-Browser",2017-09-02 00:30:00,2017-09-02 00:40:00,319956,0.000293008589140382,4294.9632,32115.646464,57.0574150085449,11.8763289451599,0.746779400110245,0,3.34905394993257e-05,0.922940909862518,0,0.107922124862671,3298544.5025,0,0,0,0,0,266376,52776,804,0.920000016689301,0,0,190,0.0379942815172414,0,0,100,0,319956,0,0
"293","Diract-Browser",2017-09-02 00:40:00,2017-09-02 00:50:00,320302,0.000292249310001186,4294.9632,32109.7728,57.055606842041,11.7338664054871,0.746678406000137,0,5.02319246152183e-05,0.951010918617249,0,0.108567697554827,2983949.965,0,0,0,0,0,266328,53143,831,0.910000026226044,0,0,170,0.034425848617284,0,0,100,0,320302,0,0
"294","Diract-Browser",2017-09-02 00:50:00,2017-09-02 01:00:00,319888,0.00029140702484307,4294.9632,32090.75712,57.0535736083984,11.8782874107361,0.759612065553665,0,3.2732978797867e-05,1.00909317731857,0,0.110075432807207,3114943.925,0,0,0,0,0,266168,52948,772,0.910000026226044,0,0,150,0.0368585901891892,0,0,100,0,319888,0,0
"295","Diract-Browser",2017-09-02 01:00:00,2017-09-02 01:10:00,320060,0.000289984142220209,4294.9632,32088.745984,57.0515632629395,11.7264039993286,0.744204157590866,0,4.18510244344361e-05,0.908847224712372,3.04114888422191e-05,0.109005112946033,3003927.025,0,0,0,0,0,266271,53008,781,0.910000026226044,0,0,170,0.0319259027560976,0,0,100,0,320060,0,0
"296","Diract-Browser",2017-09-02 01:10:00,2017-09-02 01:20:00,320124,0.000293826113955842,4294.9632,32081.102848,57.049633026123,11.5922404289246,0.736001747846603,0,3.27205740177305e-05,0.821329545974731,0,0.108625043928623,2926780.2175,0,0,0,0,0,265912,53389,823,0.910000026226044,0,0,184,0.0299658923409091,0,0,100,0,320124,0,0
"297","Diract-Browser",2017-09-02 01:20:00,2017-09-02 01:30:00,319886,0.000293128006186579,4294.9632,32062.175232,57.0477638244629,11.7096814155579,0.761343204975128,0,5.06860880705062e-05,0.875881484150887,0,0.111303553730249,2964414.6575,0,0,0,0,0,265693,53380,813,0.910000026226044,0,0,210,0.0336607702604167,0,0,100,0,319886,0,0
"298","Diract-Browser",2017-09-02 01:30:00,2017-09-02 01:40:00,320136,0.000293973779956019,4294.9632,32053.178368,57.0457611083984,11.6928301811218,0.743227952718735,0,3.7670363963116e-05,0.796183329820633,0,0.108760531246662,3083929.955,0,0,0,0,0,265515,53823,798,0.910000026226044,0,0,204,0.033056976923913,0,0,100,0,320136,0,0
"299","Diract-Browser",2017-09-02 01:40:00,2017-09-02 01:50:00,320020,0.000294253709424411,4294.9632,32042.30144,57.0437889099121,11.5678092002869,0.741409587860107,0,4.60646057035774e-05,0.935675001144409,0,0.108735613524914,2902384.575,0,0,1,0,0,265644,53581,795,0.910000026226044,0,0,200,0.0331521554615385,0,0,100,0,320020,0,0
"300","Diract-Browser",2017-09-02 01:50:00,2017-09-02 02:00:00,320063,0.000292783920165717,4294.9632,32021.784576,57.0415992736816,11.7556184768677,0.757986545562744,0,5.44146842003101e-05,0.872496211528778,0,0.111072659492493,3020133.505,0,0,0,0,0,265614,53668,781,0.910000026226044,0,0,192,0.0314089246781609,0,0,100,0,320063,0,0
"301","Diract-Browser",2017-09-02 02:00:00,2017-09-02 02:10:00,320167,0.000297018177107572,4294.9632,32012.945408,57.0394897460938,11.6901228904724,0.741440564393997,0,4.64321394247236e-05,0.85571585893631,0,0.109645744413137,2894424.1825,0,0,0,0,0,265130,54229,808,0.910000026226044,0,0,196,0.0356722841304348,0,0,100,0,320167,0,0
"302","Diract-Browser",2017-09-02 02:10:00,2017-09-02 02:20:00,319813,0.000294377091522233,4294.9632,32001.929216,57.0378494262695,11.8078957557678,0.745291924476624,0,5.02069255162496e-05,0.892533338069916,0,0.108210891485214,3091320.985,0,0,0,0,0,265518,53521,774,0.910000026226044,0,0,172,0.031181970902439,0,0,100,0,319813,0,0
"303","Diract-Browser",2017-09-02 02:20:00,2017-09-02 02:30:00,319902,0.000292278150080337,4294.9632,31979.972608,57.0360984802246,11.8547529220581,0.754640734195709,0,3.34901142196031e-05,0.944441658258438,0,0.108433128893375,3040491.7975,0,0,1,0,0,265638,53460,804,0.910000026226044,0,0,190,0.0317587988863636,0,0,100,0,319902,0,0
