"","app_name","begin_time","end_time","rpm","duration","swapFreeMB","minFreeMemMB","minDiskFreePct","cpuUserPct","cpuSystemPct","cpuStealPct","cpuIOWaitPct","loadAverage","diskReadPct","diskWritePct","receiveBytes","transmitBytes","transmitErrors","count.services","count.kernel","count.sessions","apdex_s","apdex_t","apdex_f","apdex_score","db_throughput","db_duration","external_throughput","external_duration","length","error_rate","bg_rate","count.200","count.503","count.Other","count.Web","queue_duration"
"14","Browser-Monitoring-Service-Production",2017-08-31 02:10:00,2017-08-31 02:20:00,116898969,0.00172887209997811,4294.9632,32377.868288,56.8860626220703,14.6393468720572,0.835946249110358,0,4.48664699693576e-05,1.18841666834695,0,0.109104765845197,3351794.23928571,0,0,0,0,0,98964264,13784353,4150352,0.910000026226044,26809,0.00865714097611023,3402889,0.0151614960625003,0,0.00275109355327163,100,0,0,116898969,0,0
"15","Browser-Monitoring-Service-Production",2017-08-31 02:20:00,2017-08-31 02:30:00,118567049,0.00168617395801398,4294.9632,32369.793024,56.8836326599121,14.8031509263175,0.861541594777788,0,4.7853420775417e-05,1.18977381076132,0,0.111247659261738,3418710.23928571,0,0,0,0,0,100530771,13915975,4120303,0.910000026226044,20698,0.00758087521135077,3403544,0.0138627702074217,0,0.00259684290531681,100,0,0,118567049,0,0
"16","Browser-Monitoring-Service-Production",2017-08-31 02:30:00,2017-08-31 02:40:00,120404170,0.0016930811270832,4294.9632,32358.500352,56.8813514709473,15.1749331610543,0.854126295873097,0,3.88897543806317e-05,1.31240476880755,0,0.109185977173703,3484438.36428571,0,0,0,0,0,102208041,14099905,4096224,0.910000026226044,22426,0.00627552632659686,3367047,0.0138311392754027,0,0.00248247216022502,100,0,0,120404170,0,0
"17","Browser-Monitoring-Service-Production",2017-08-31 02:40:00,2017-08-31 02:50:00,120771421,0.00171624930040399,4294.9632,32338.456576,56.8788146972656,15.2695910590036,0.932289417300906,0,4.78497921514125e-05,1.32301693303244,0,0.108987390995026,3563678.99642857,0,0,0,0,0,102517871,14108583,4144967,0.910000026226044,27046,0.0078469697520291,3435991,0.0145487651128517,0,0.00274402666836221,100,0,0,120771421,0,0
"18","Browser-Monitoring-Service-Production",2017-08-31 02:50:00,2017-08-31 03:00:00,122435147,0.00161658190649945,4294.9632,32387.483648,56.8760375976562,15.5165654591152,0.973154161657606,0,3.88747004243279e-05,1.24497781481062,1.52310926101304e-05,0.133648994777884,3635133.54642857,0,0,0,0,0,104013609,14252397,4169141,0.910000026226044,21635,0.00717658412388988,3501598,0.0127143139512459,0,0.0023735014586947,100,0,0,122435147,0,0
"19","Browser-Monitoring-Service-Production",2017-08-31 03:00:00,2017-08-31 03:10:00,122151245,0.00176140955125245,4294.9632,32417.888256,56.8742294311523,15.6570999281747,0.914911678859166,0,4.81191319912406e-05,1.25390123043742,0,0.109275360192571,3641956.76785714,0,0,0,0,0,103656569,14347876,4146800,0.910000026226044,29430,0.0142840867611712,3460381,0.0162871619166981,0,0.00283255401940439,100,0,0,122151245,0,0
"20","Browser-Monitoring-Service-Production",2017-08-31 03:10:00,2017-08-31 03:20:00,123075122,0.00165896969670212,4294.9632,32411.049984,56.8667869567871,15.5477498599461,0.958439213888986,0,5.05654861626681e-05,1.22203513979912,1.89969601446397e-07,0.111093859055213,3547136.30714286,0,0,0,0,0,104523691,14386489,4164942,0.910000026226044,23019,0.0103492668649098,3477569,0.0133007678179209,0,0.00321104698965889,100,0,0,123075122,0,0
"21","Browser-Monitoring-Service-Production",2017-08-31 03:20:00,2017-08-31 03:30:00,125063780,0.00162740930069198,4294.9632,32392.486912,56.8585319519043,15.820073059627,1.03659380333764,0,4.81927119316034e-05,1.36732276422637,0,0.110528786267553,3555316.525,0,0,0,0,0,106398568,14503252,4161960,0.910000026226044,24693,0.00871427741977707,3518223,0.013840052670875,0,0.00223326050116189,100,0,0,125063780,0,0
"22","Browser-Monitoring-Service-Production",2017-08-31 03:30:00,2017-08-31 03:40:00,126853238,0.00156408485996282,4294.9632,32390.090752,56.8564796447754,16.1099141665867,0.906813630035945,0,5.38326943829556e-05,1.28591071707862,3.03821415010524e-07,0.110140663704702,3639724.03214286,0,0,0,0,0,107980922,14682966,4189350,0.910000026226044,21776,0.0038220431862467,3533649,0.0115611008367235,0,0.00309570339859988,100,0,0,126853238,0,0
"23","Browser-Monitoring-Service-Production",2017-08-31 03:40:00,2017-08-31 03:50:00,128940143,0.00154957985935855,4294.9632,32379.52512,56.8541488647461,16.6027486664908,0.940463645117623,0,4.78588158979879e-05,1.43730355160577,5.80348153432299e-06,0.110497817929302,3641964.86071429,0,0,0,0,0,109845572,14877399,4217172,0.910000026226044,23912,0.0081699583914001,3601893,0.0127114139974537,0,0.00318132111890088,100,0,0,128940143,0,0
"24","Browser-Monitoring-Service-Production",2017-08-31 03:50:00,2017-08-31 04:00:00,132305755,0.00157706255515468,4294.9632,32357.224448,56.8523941040039,17.0422504970006,0.896198230130332,0,4.18694728848225e-05,1.53865475314004,0,0.110010050769363,3860342.92142857,0,0,0,0,0,112992051,15090846,4222858,0.910000026226044,22685,0.00741974278588086,3569761,0.0141138436377227,0,0.00371865910141248,99.9999387781733,81,0,132305674,81,0
