"","X1","app_name","begin_time","end_time","rpm","duration","swapFreeMB","minFreeMemMB","minDiskFreePct","cpuUserPct","cpuSystemPct","cpuStealPct","cpuIOWaitPct","loadAverage","diskReadPct","diskWritePct","receiveBytes","transmitBytes","transmitErrors","event_count.kernel","event_count.sessions","event_count.services","apdex_s","apdex_t","apdex_f","apdex_score","cpm.db","duration.db","cpm.external","duration.external","length","error_pct","bg_pct","cpm.Other","cpm.OtherTransaction/Custom/org.apache.cassandra.cql3.statements.BatchStatement/execute.x","cpm.OtherTransaction/Custom/org.apache.cassandra.cql3.statements.SelectStatement/execute.x","cpm.OtherTransaction/Custom/org.apache.cassandra.cql3.statements.UpdateStatement/execute.x","cpm.OtherTransaction/NettyDispatcher/NettyDispatcher.x","cpm.OtherTransaction/Custom/org.apache.cassandra.cql3.statements.UseStatement/execute.x","cpm.OtherTransaction/Custom/org.apache.cassandra.cql3.statements.BatchStatement/execute.y","cpm.OtherTransaction/Custom/org.apache.cassandra.cql3.statements.SelectStatement/execute.y","cpm.OtherTransaction/Custom/org.apache.cassandra.cql3.statements.UpdateStatement/execute.y","cpm.OtherTransaction/NettyDispatcher/NettyDispatcher.y","duration.OtherTransaction/Custom/org.apache.cassandra.cql3.statements.BatchStatement/execute","duration.OtherTransaction/Custom/org.apache.cassandra.cql3.statements.SelectStatement/execute","duration.OtherTransaction/Custom/org.apache.cassandra.cql3.statements.UpdateStatement/execute","duration.OtherTransaction/NettyDispatcher/NettyDispatcher","cpm.OtherTransaction/Custom/org.apache.cassandra.cql3.statements.UseStatement/execute.y","duration.OtherTransaction/Custom/org.apache.cassandra.cql3.statements.UseStatement/execute","queue_duration","deploys","stl_rpm","stl_duration","stl_apdex_score","stl_error_pct"
"21",21,"BST-Cassandra",2017-09-27 20:20:00,2017-09-27 20:30:00,3309557,0.000195466699386655,0,59783.856128,66.8275299072266,7.47038049697876,1.8555192232132,0,0.151144699007273,2.11704430580139,0.768351274728775,5.31918315887451,1065563.41105769,0,0,0,0,0,3268901,34147,6509,0.990000009536743,0,0,0,0,0,0,100,330955.7,21,433.4,144558.9,185942.4,0,21,433.4,144558.9,185942.4,0.00142931101428571,0.00218430890055376,0.000422209617286103,1.44128798439732e-05,0,0,0,0,-18395.7261162344,-1.61906337800986e-06,0,0
"22",22,"BST-Cassandra",2017-09-27 20:30:00,2017-09-27 20:40:00,3288359,0.000197419588522725,0,59743.772672,66.7900390625,7.4905255317688,1.84164289236069,0,0.140189442038536,2.05331797599792,0.706426966190338,5.4577787399292,1065411.68028846,0,0,0,0,0,3249764,32941,5654,0.990000009536743,0,0,0,0,0,0,100,328835.9,28.7,404.4,145734.7,182668.1,0,28.7,404.4,145734.7,182668.1,0.0519594997944251,0.00197323065652819,0.000411318611007536,1.47044917437692e-05,0,0,0,0,-60257.6692423448,-1.02087643021406e-06,0,0
"23",23,"BST-Cassandra",2017-09-27 20:40:00,2017-09-27 20:50:00,3305426,0.000198253969270527,0,59743.821824,66.7359924316406,7.28602094650269,1.81509643793106,0,0.13154387101531,2.06208031177521,0.555854481458664,5.03772521018982,1051634.52163462,0,0,0,0,0,3267383,32325,5718,0.990000009536743,0,0,0,0,0,0,100,330542.6,37.6,382,146064.1,184058.9,0,37.6,382,146064.1,184058.9,0.0314969073085106,0.00197552170890052,0.0004174313561587,1.42384535944744e-05,0,0,0,0,26800.9967597402,-1.06080632580299e-06,0,0
"24",24,"BST-Cassandra",2017-09-27 20:50:00,2017-09-27 21:00:00,3218298,0.000198126927585015,0,59709.042688,66.6977920532227,8.28273782730103,1.89555768966675,0,0.181060001254082,2.61570000648499,0.890216869115829,6.77314767837524,1055146.88461538,0,0,0,0,0,3179223,32584,6491,0.990000009536743,0,0,0,0,0,0,100,321829.8,28.2,440.2,142848.8,178512.6,0,28.2,440.2,142848.8,178512.6,0.0208073687659574,0.00211387471785552,0.000418383981967647,1.38937210370585e-05,0,0,0,0,-36691.9442457706,-6.02915485413137e-07,0,0
"25",25,"BST-Cassandra",2017-09-27 21:00:00,2017-09-27 21:10:00,3222867,0.000210004129905454,0,59744.31744,66.7158432006836,7.1401487827301,1.81480365991592,0,0.13914500400424,1.82540149688721,0.583201044797897,5.33813309669495,1032190.47115385,0,0,0,0,0,3181729,34751,6387,0.990000009536743,0,0,0,0,0,0,100,322286.7,35.7,379.6,142431.3,179440.1,0,35.7,379.6,142431.3,179440.1,0.0561259010728291,0.00192177877028451,0.000437933807221446,1.43382368132876e-05,0,0,0,0,-34744.0844997941,8.51443895452818e-06,-1.11022302462516e-16,0
"26",26,"BST-Cassandra",2017-09-27 21:10:00,2017-09-27 21:20:00,3244000,0.000198810788432183,0,59740.131328,66.7412872314453,7.14185647964478,1.79471238851547,0,0.135250665992498,2.0976927280426,0.692503476142883,5.26047596931457,1041567.34615385,0,0,0,0,0,3206868,31316,5816,0.990000009536743,0,0,0,0,0,0,100,324400,35.8,382.9,142875.8,181105.5,0,35.8,382.9,142875.8,181105.5,0.0651144223156425,0.00216040637503265,0.000410461038119822,1.48584921899114e-05,0,0,0,0,-10287.8797165351,8.30740312536484e-07,-1.11022302462516e-16,0
"27",27,"BST-Cassandra",2017-09-27 21:20:00,2017-09-27 21:30:00,3193227,0.000192458042487114,0,59694.501888,66.8057250976562,7.20627307891846,1.82451610565186,0,0.141426130384207,1.8852787733078,0.702428358793259,5.17177648544312,1036704.125,0,0,0,0,0,3156932,31377,4918,0.990000009536743,0,0,0,0,0,0,100,319322.7,20,425.5,140139.6,178737.6,0,20,425.5,140139.6,178737.6,0.033830744585,0.00193457838166863,0.000409961220151192,1.40129573357816e-05,0,0,0,0,-42643.470189447,-4.41479396564323e-06,1.11022302462516e-16,0
"28",28,"BST-Cassandra",2017-09-27 21:30:00,2017-09-27 21:40:00,3143119,0.000207617125897874,0,59669.15584,66.7761917114258,7.1109477519989,1.78467202186584,0,0.131795809417963,2.24374868869781,0.588273763656616,4.66305088996887,1012373.33894231,0,0,0,0,0,3105902,31386,5831,0.990000009536743,0,0,0,0,0,0,100,314311.9,27.4,364,140322.7,173597.8,0,27.4,364,140322.7,173597.8,0.0507696439160584,0.00197557350192308,0.000432395982217418,1.42361517346418e-05,0,0,0,0,-83856.720078575,4.72679750432206e-06,1.11022302462516e-16,0
"29",29,"BST-Cassandra",2017-09-27 21:40:00,2017-09-27 21:50:00,3208250,0.000199505686994156,0,59661.524992,66.7415771484375,6.94460229873657,1.74917432069778,0,0.108949282765388,2.19799358844757,0.483803316950798,4.35047473907471,1020318.04326923,0,0,0,0,0,3170444,31987,5819,0.990000009536743,0,0,0,0,0,0,100,320825,15.9,368.2,142663.1,177777.8,0,15.9,368.2,142663.1,177777.8,0.0640159570691824,0.00222640914149919,0.000418118704013161,1.4167595639613e-05,0,0,0,0,-35535.3436747561,-7.64839709571863e-07,1.11022302462516e-16,0
"30",30,"BST-Cassandra",2017-09-27 21:50:00,2017-09-27 22:00:00,3216733,0.000205165733615752,0,59629.64992,66.6877746582031,7.68822202682495,1.82273451089859,0,0.146698643267155,2.11605005264282,0.649276083707809,5.21757831573486,1027500.79086538,0,0,0,0,0,3179116,30521,7096,0.990000009536743,0,0,0,0,0,0,100,321673.3,20.2,438.7,143480.6,177733.8,0,20.2,438.7,143480.6,177733.8,0.0740182064653465,0.00200306593594712,0.000424559852899974,1.52268355957055e-05,0,0,0,0,-47690.8286727173,-3.21942036127693e-07,1.11022302462516e-16,0
