"","app_name","begin_time","end_time","rpm","duration","swapFreeMB","minFreeMemMB","minDiskFreePct","cpuUserPct","cpuSystemPct","cpuStealPct","cpuIOWaitPct","loadAverage","diskReadPct","diskWritePct","receiveBytes","transmitBytes","transmitErrors","event_count.kernel","event_count.sessions","event_count.services","apdex_s","apdex_t","apdex_f","apdex_score","cpm.db","duration.db","cpm.external","duration.external","length","error_pct","bg_pct","cpm.Other","cpm.OtherTransaction/Custom/com.newrelic.analytics.messaging.AnalyticEventPartitionService/runOneIteration.x","cpm.OtherTransaction/Custom/com.newrelic.bam.common.domaincondition.PersistentCache/loadAllDomainConditions.x","cpm.OtherTransaction/Custom/com.newrelic.bam.common.domaincondition.PersistentCache/loadRecentDomainConditions.x","cpm.OtherTransaction/Custom/com.nr.analytics.dirac_browser_consumer.services.EventConsumerService$EventConsumerTask/processOneMessage.x","cpm.OtherTransaction/Custom/com.nr.analytics.dirac_browser_consumer.services.TransformerService$TransformerTask/processBatch.x","cpm.OtherTransaction/ProducerEventHandler/big.producer/onEvent.x","cpm.OtherTransaction/ProducerEventHandler/small.producer/onEvent.x","cpm.OtherTransaction/Custom/com.newrelic.analytics.messaging.AnalyticEventPartitionService/runOneIteration.y","cpm.OtherTransaction/Custom/com.newrelic.bam.common.domaincondition.PersistentCache/loadAllDomainConditions.y","cpm.OtherTransaction/Custom/com.newrelic.bam.common.domaincondition.PersistentCache/loadRecentDomainConditions.y","cpm.OtherTransaction/Custom/com.nr.analytics.dirac_browser_consumer.services.EventConsumerService$EventConsumerTask/processOneMessage.y","cpm.OtherTransaction/Custom/com.nr.analytics.dirac_browser_consumer.services.TransformerService$TransformerTask/processBatch.y","cpm.OtherTransaction/ProducerEventHandler/big.producer/onEvent.y","cpm.OtherTransaction/ProducerEventHandler/small.producer/onEvent.y","duration.OtherTransaction/Custom/com.newrelic.analytics.messaging.AnalyticEventPartitionService/runOneIteration","duration.OtherTransaction/Custom/com.newrelic.bam.common.domaincondition.PersistentCache/loadAllDomainConditions","duration.OtherTransaction/Custom/com.newrelic.bam.common.domaincondition.PersistentCache/loadRecentDomainConditions","duration.OtherTransaction/Custom/com.nr.analytics.dirac_browser_consumer.services.EventConsumerService$EventConsumerTask/processOneMessage","duration.OtherTransaction/Custom/com.nr.analytics.dirac_browser_consumer.services.TransformerService$TransformerTask/processBatch","duration.OtherTransaction/ProducerEventHandler/big.producer/onEvent","duration.OtherTransaction/ProducerEventHandler/small.producer/onEvent","queue_duration","deploys"
"21","Dirac-Browser",2017-09-27 20:20:00,2017-09-27 20:30:00,6068671,0.000244196983934539,4294.9632,66300.944384,59.0928649902344,16.6529802958171,0.934087963898977,0,3.86047727564195e-05,1.32060554424922,0,0.105938427150249,3624066.55,0,0,0,0,0,4992820,1005249,70602,0.910000026226044,0,0,32.5,0.0238836797978723,0,0.000313083375256296,100,606867.1,14.1,0,8.2,197373.3,197635.4,1.7,211834.4,14.1,0,8.2,197373.3,197635.4,1.7,211834.4,0.00307028166666667,0,0.0736039393902439,7.71150560237884e-05,0.000245159926015785,0.00173307,0.0003959347152606,0,0
"22","Dirac-Browser",2017-09-27 20:30:00,2017-09-27 20:40:00,5918878,0.000246094236874455,4294.9632,66304.565248,59.0918121337891,16.6060266494751,0.933588600158691,0,4.97596876812167e-05,1.29324998855591,0,0.106699602305889,3741027.48,0,0,0,0,0,4863475,982917,72486,0.899999976158142,0,0,38.9,0.0189044872180233,0,0.000304111691438817,100,591887.8,14,0,8.4,192279,192575,0,207011.4,14,0,8.4,192279,192575,0,207011.4,0.00290125367857143,0,0.0668242071428571,7.69725303517285e-05,0.000249348980549916,0,0.000397271138072106,0,0
"23","Dirac-Browser",2017-09-27 20:40:00,2017-09-27 20:50:00,5735437,0.000248777193061139,4294.9632,66293.833728,59.0907173156738,16.3330727259318,0.917380321025848,0,3.30199358965425e-05,1.24125556151072,1.00081699201837e-05,0.107411816219489,3697525.175,0,0,0,0,0,4713639,956613,65185,0.910000026226044,0,0,44.8,0.0462252141699507,0,0.000470757502872057,100,573543.7,5.4,2.1,23.7,186337.3,186931.4,3,200240.8,5.4,2.1,23.7,186337.3,186931.4,3,200240.8,0.00269323711111111,0.4679639,0.0722722788860759,7.67553209416472e-05,0.000247166320794152,0.0004123525,0.000396860721704068,0,0
"24","Dirac-Browser",2017-09-27 20:50:00,2017-09-27 21:00:00,5516225,0.00024705555573984,4294.9632,66266.894336,59.0896911621094,15.8062966346741,0.90915462176005,0,4.6978861792013e-05,1.2763888835907,0,0.106305067737897,3537189.04666667,0,0,0,0,0,4517145,936732,62348,0.899999976158142,0,0,39,0.0325185646384615,0,0,100,551622.5,16.7,0,16.6,179067.8,179703.7,6.6,192811.1,16.7,0,16.6,179067.8,179703.7,6.6,192811.1,0.00262996420958084,0,0.0748936860843374,7.70252796125267e-05,0.00024669919760528,0.000568078909090909,0.000398654395015121,0,0
"25","Dirac-Browser",2017-09-27 21:00:00,2017-09-27 21:10:00,5227904,0.000245756090157738,4294.9632,66313.445376,59.088695526123,15.3115524609884,0.906359712282817,0,4.18600885798999e-05,1.3611444513003,0,0.107488957047462,3672083.95,0,0,0,0,0,4294540,875722,57642,0.910000026226044,0,0,26.8,0.0468350207165354,0,0,100,522790.4,4.7,0,14.3,170384.3,169210.4,3.4,183173.3,4.7,0,14.3,170384.3,169210.4,3.4,183173.3,0.0436385429787234,0,0.0683320962097902,7.60007652747348e-05,0.000244431983820734,0.00470763694117647,0.000398370819528283,0,0
"26","Dirac-Browser",2017-09-27 21:10:00,2017-09-27 21:20:00,5092572,0.000246368181008339,4294.9632,66312.331264,59.0885543823242,14.8432863553365,0.882770562171936,0,3.53465989367881e-05,1.07143637736638,1.80890599343305e-05,0.107042663296064,3569244.075,0,0,0,0,0,4180547,855724,56301,0.899999976158142,0,0,37.2,0.0276185105026882,0,0,100,509257.2,19.1,0,14.2,164755,165489.9,0,178979,19.1,0,14.2,164755,165489.9,0,178979,0.00295781436125654,0,0.0704821722042253,7.68201079955085e-05,0.000246161564444718,0,0.000396771014215076,0,0
"27","Dirac-Browser",2017-09-27 21:20:00,2017-09-27 21:30:00,4932450,0.000246201624511146,4294.9632,66290.417664,59.0876502990723,14.4924115180969,0.872438220183055,0,3.8906258608525e-05,1.23634288708369,0,0.106500530739625,3402031.81166667,0,0,0,0,0,4045438,834404,52608,0.899999976158142,0,0,21,0.0263877104808743,0,0,100,493245,9.2,0,6.4,160427.1,160189.8,3.3,172609.2,9.2,0,6.4,160427.1,160189.8,3.3,172609.2,0.00323923742391304,0,0.0682759303125,7.76055767142833e-05,0.000247370650765529,0.00252215136363636,0.000399088446943152,0,0
"28","Dirac-Browser",2017-09-27 21:30:00,2017-09-27 21:40:00,4773790,0.000248301136931034,4294.9632,66289.93024,59.0866851806641,14.2056474367778,0.878057261308034,0,4.14064437791239e-05,1.13569445212682,0,0.106758678456148,3303637.16833333,0,0,0,0,0,3912913,809154,51723,0.899999976158142,0,0,48,0.0345349713656174,0,0.00062843149782458,100,477379,13.4,0,18.8,155094.7,155310.4,4.6,166937.1,13.4,0,18.8,155094.7,155310.4,4.6,166937.1,0.00322758143283582,0,0.0699542849414894,7.70665447684544e-05,0.00024779878958138,0.00344815430434783,0.000399678411921616,0,0
"29","Dirac-Browser",2017-09-27 21:40:00,2017-09-27 21:50:00,4635776,0.000246636183751976,4294.9632,66274.594816,59.0855178833008,13.9838113466899,0.861339926719666,0,4.41877348445511e-05,1.1884555498759,2.71659266824524e-05,0.105639182031155,3334772.23166667,0,0,0,0,0,3801362,787064,47350,0.899999976158142,0,0,32.2,0.0330446049461279,0,0,100,463577.6,15,0,12.2,150721.6,150174.9,1.3,162652.6,15,0,12.2,150721.6,150174.9,1.3,162652.6,0.00301504399333333,0,0.0716212178278688,7.70889040482585e-05,0.000247437813398244,0.007104776,0.000397342911007878,0,0
"30","Dirac-Browser",2017-09-27 21:50:00,2017-09-27 22:00:00,4531994,0.000248070375881345,4294.9632,66247.663616,59.0845031738281,13.8499670664469,0.850745904445648,0,3.20857972837985e-05,1.29199998776118,2.40320029358069e-05,0.104925881822904,3212306.51166667,0,0,0,0,0,3708967,778075,44952,0.899999976158142,0,0,40.2,0.0321676319011976,0,0.000684025618745303,100,453199.4,6.9,0,13.4,146547.2,146967,0,159664.9,6.9,0,13.4,146547.2,146967,0,159664.9,0.00302600928985507,0,0.0713371251492537,7.70407753542886e-05,0.000247331580002313,0,0.000399642365566258,0,0
